DATE                                      VALUE
1979-12-05                             -0.48450
1979-12-06                             -1.36319
1979-12-07                              1.67818
1979-12-10                             -0.29126
1979-12-11                              1.85005
1979-12-12                              1.14723
1979-12-13                             -0.66163
1979-12-14                             -0.57088
1979-12-17                             -0.28708
1979-12-18                             -0.76775
1979-12-19                             -0.09671
1979-12-20                              0.48403
1979-12-21                              0.09634
1979-12-24                              0.57748
1979-12-25                                    .
1979-12-26                                    .
1979-12-27                             -0.19084
1979-12-28                             -0.47801
1979-12-31                             -0.76849
1980-01-01                                    .
1980-01-02                                    .
1980-01-03                              0.95238
1980-01-04                              0.56604
1980-01-07                             -0.28143
1980-01-08                             -0.56444
1980-01-09                              0.09461
1980-01-10                             -0.66163
1980-01-11                              1.61751
1980-01-14                              0.18727
1980-01-15                             -0.46729
1980-01-16                              0.00000
1980-01-17                              0.56338
1980-01-18                              1.02708
1980-01-21                              1.29390
1980-01-22                             -1.00365
1980-01-23                             -0.27650
1980-01-24                              1.75601
1980-01-25                              0.81744
1980-01-28                              0.45045
1980-01-29                              0.53812
1980-01-30                             -0.44603
1980-01-31                             -0.26882
1980-02-01                              1.43756
1980-02-04                              0.97431
1980-02-05                              2.89474
1980-02-06                              1.61978
1980-02-07                             -1.76174
1980-02-08                              0.76857
1980-02-11                              1.77966
1980-02-12                                    .
1980-02-13                                    .
1980-02-14                              0.92749
1980-02-15                              1.92147
1980-02-18                                    .
1980-02-19                                    .
1980-02-20                             -0.07782
1980-02-21                              2.95950
1980-02-22                             -1.21029
1980-02-25                              1.60796
1980-02-26                              2.86360
1980-02-27                             -1.39194
1980-02-28                             -4.01189
1980-02-29                             -1.54799
1980-03-03                              0.55031
1980-03-04                              0.93823
1980-03-05                              0.92951
1980-03-06                              0.76746
1980-03-07                             -2.05636
1980-03-10                             -1.78849
1980-03-11                             -1.74188
1980-03-12                              1.69218
1980-03-13                             -0.95087
1980-03-14                              0.16000
1980-03-17                              0.47923
1980-03-18                             -1.43084
1980-03-19                             -0.40323
1980-03-20                              2.18623
1980-03-21                              1.03011
1980-03-24                              3.29412
1980-03-25                             -0.53151
1980-03-26                             -0.53435
1980-03-27                             -0.46048
1980-03-28                             -1.92753
1980-03-31                             -0.62893
1980-04-01                              0.39557
1980-04-02                             -0.47281
1980-04-03                             -0.87094
1980-04-04                                    .
1980-04-07                                    .
1980-04-08                              0.65952
1980-04-09                             -1.22850
1980-04-10                              0.00000
1980-04-11                             -2.23881
1980-04-14                             -1.44190
1980-04-15                             -0.43029
1980-04-16                             -5.79084
1980-04-17                              2.11009
1980-04-18                             -0.71878
1980-04-21                             -1.35747
1980-04-22                             -0.73394
1980-04-23                              0.64695
1980-04-24                              0.64279
1980-04-25                             -0.09124
1980-04-28                             -2.92237
1980-04-29                              0.37629
1980-04-30                              0.84349
1980-05-01                             -1.76580
1980-05-02                             -3.12204
1980-05-05                             -0.58594
1980-05-06                             -3.73281
1980-05-07                              1.63265
1980-05-08                              2.20884
1980-05-09                              1.17878
1980-05-12                              0.00000
1980-05-13                             -1.65049
1980-05-14                              0.09872
1980-05-15                              1.67653
1980-05-16                              0.58196
1980-05-19                              1.54291
1980-05-20                             -2.94397
1980-05-21                             -1.36986
1980-05-22                              0.19841
1980-05-23                             -2.47525
1980-05-26                                    .
1980-05-27                                    .
1980-05-28                              1.40562
1980-05-29                              1.38614
1980-05-30                              0.09766
1980-06-02                              0.58537
1980-06-03                             -1.45490
1980-06-04                             -0.88583
1980-06-05                             -0.49652
1980-06-06                             -2.09581
1980-06-09                             -0.81549
1980-06-10                              1.02775
1980-06-11                             -1.32248
1980-06-12                             -1.75258
1980-06-13                             -0.20986
1980-06-16                             -0.42061
1980-06-17                              0.21119
1980-06-18                              0.73762
1980-06-19                              0.00000
1980-06-20                             -0.73222
1980-06-23                              1.47524
1980-06-24                              0.51921
1980-06-25                              1.13636
1980-06-26                              0.81716
1980-06-27                              1.72239
1980-06-30                              0.49801
1980-07-01                              0.39643
1980-07-02                              0.59230
1980-07-03                             -1.76644
1980-07-04                                    .
1980-07-07                                    .
1980-07-08                             -1.07843
1980-07-09                              0.49554
1980-07-10                              0.69034
1980-07-11                              0.68560
1980-07-14                              0.48638
1980-07-15                             -1.54889
1980-07-16                             -0.98328
1980-07-17                              1.39027
1980-07-18                             -0.09794
1980-07-21                             -0.68627
1980-07-22                              0.49358
1980-07-23                             -0.58939
1980-07-24                              1.18577
1980-07-25                              1.07422
1980-07-28                              1.06280
1980-07-29                             -0.09560
1980-07-30                              0.76555
1980-07-31                              2.18424
1980-08-01                              0.00000
1980-08-04                             -0.65056
1980-08-05                              0.09355
1980-08-06                              0.93458
1980-08-07                             -0.83333
1980-08-08                              1.49393
1980-08-11                              1.47194
1980-08-12                             -0.45331
1980-08-13                             -0.81967
1980-08-14                              0.09183
1980-08-15                             -0.36697
1980-08-18                              2.48619
1980-08-19                              0.98832
1980-08-20                             -0.17794
1980-08-21                              0.71301
1980-08-22                             -1.50442
1980-08-25                              2.42588
1980-08-26                              0.17544
1980-08-27                              2.18914
1980-08-28                              1.88518
1980-08-29                             -2.85955
1980-09-01                                    .
1980-09-02                                    .
1980-09-03                             -2.12014
1980-09-04                              0.72202
1980-09-05                              0.44803
1980-09-08                              0.71365
1980-09-09                             -0.88574
1980-09-10                             -0.44683
1980-09-11                              1.61580
1980-09-12                              0.44170
1980-09-15                              2.19877
1980-09-16                             -0.86059
1980-09-17                              0.43403
1980-09-18                             -0.34572
1980-09-19                             -1.73461
1980-09-22                              3.17741
1980-09-23                              0.59880
1980-09-24                             -0.08503
1980-09-25                              1.36170
1980-09-26                              0.67170
1980-09-29                              0.66722
1980-09-30                             -1.73985
1980-10-01                             -0.67454
1980-10-02                              0.42445
1980-10-03                             -3.63483
1980-10-06                             -0.43860
1980-10-07                              0.70485
1980-10-08                              0.69991
1980-10-09                             -1.04257
1980-10-10                              0.43898
1980-10-13                                    .
1980-10-14                                    .
1980-10-15                             -0.70361
1980-10-16                              1.59433
1980-10-17                              1.30776
1980-10-20                              0.17212
1980-10-21                              0.51546
1980-10-22                              1.53846
1980-10-23                             -0.50505
1980-10-24                             -0.67682
1980-10-27                              3.32198
1980-10-28                              1.56636
1980-10-29                              1.29870
1980-10-30                              0.00000
1980-10-31                             -0.16026
1980-11-03                              0.00000
1980-11-04                                    .
1980-11-05                                    .
1980-11-06                              3.40999
1980-11-07                             -2.91411
1980-11-10                              0.94787
1980-11-11                                    .
1980-11-12                                    .
1980-11-13                              0.16038
1980-11-14                              2.40192
1980-11-17                              1.25098
1980-11-18                             -2.54826
1980-11-19                             -0.87163
1980-11-20                              0.63949
1980-11-21                              1.66799
1980-11-24                             -0.31250
1980-11-25                             -0.15674
1980-11-26                             -0.70644
1980-11-27                                    .
1980-11-28                                    .
1980-12-01                              1.57233
1980-12-02                              0.23220
1980-12-03                             -0.23166
1980-12-04                             -0.07740
1980-12-05                             -0.46476
1980-12-08                              0.46693
1980-12-09                              1.47173
1980-12-10                              0.38168
1980-12-11                              3.19392
1980-12-12                             -2.65291
1980-12-15                              0.30280
1980-12-16                              1.96226
1980-12-17                             -1.70244
1980-12-18                             -0.45181
1980-12-19                             -4.38729
1980-12-22                             -3.95570
1980-12-23                              1.72982
1980-12-24                              0.56680
1980-12-25                                    .
1980-12-26                                    .
1980-12-29                             -0.40816
1980-12-30                              1.55738
