""	"sequence"	"support"
"1"	"<{100}>"	0.19047619047619
"2"	"<{100058}>"	0.0476190476190476
"3"	"<{10006}>"	0.0773809523809524
"4"	"<{10007}>"	0.130952380952381
"5"	"<{1001}>"	0.0773809523809524
"6"	"<{10023}>"	0.261904761904762
"7"	"<{10026}>"	0.0714285714285714
"8"	"<{100270}>"	0.0476190476190476
"9"	"<{10033}>"	0.0595238095238095
"10"	"<{100349}>"	0.0476190476190476
"11"	"<{10036}>"	0.19047619047619
"12"	"<{10039}>"	0.0714285714285714
"13"	"<{1004}>"	0.113095238095238
"14"	"<{10040}>"	0.18452380952381
"15"	"<{100430}>"	0.0476190476190476
"16"	"<{10044}>"	0.0476190476190476
"17"	"<{100456}>"	0.0476190476190476
"18"	"<{10049}>"	0.130952380952381
"19"	"<{1005}>"	0.0595238095238095
"20"	"<{100610}>"	0.107142857142857
"21"	"<{100613}>"	0.0595238095238095
"22"	"<{10075}>"	0.0654761904761905
"23"	"<{100757}>"	0.0535714285714286
"24"	"<{100800}>"	0.0654761904761905
"25"	"<{100894}>"	0.0535714285714286
"26"	"<{10090}>"	0.0714285714285714
"27"	"<{1010}>"	0.0654761904761905
"28"	"<{10102}>"	0.0892857142857143
"29"	"<{1011}>"	0.0595238095238095
"30"	"<{1012}>"	0.0773809523809524
"31"	"<{10122}>"	0.107142857142857
"32"	"<{10124}>"	0.0595238095238095
"33"	"<{10129}>"	0.0833333333333333
"34"	"<{10134}>"	0.0476190476190476
"35"	"<{10136}>"	0.0535714285714286
"36"	"<{10142}>"	0.101190476190476
"37"	"<{10144}>"	0.130952380952381
"38"	"<{10150}>"	0.0952380952380952
"39"	"<{10153}>"	0.136904761904762
"40"	"<{10160}>"	0.0595238095238095
"41"	"<{10167}>"	0.0535714285714286
"42"	"<{10169}>"	0.0595238095238095
"43"	"<{1017}>"	0.119047619047619
"44"	"<{10173}>"	0.160714285714286
"45"	"<{101818}>"	0.0476190476190476
"46"	"<{10184}>"	0.0595238095238095
"47"	"<{10186}>"	0.0535714285714286
"48"	"<{10188}>"	0.148809523809524
"49"	"<{1019}>"	0.0535714285714286
"50"	"<{10195}>"	0.0595238095238095
"51"	"<{10197}>"	0.0773809523809524
"52"	"<{1021}>"	0.0595238095238095
"53"	"<{10214}>"	0.0892857142857143
"54"	"<{10216}>"	0.0595238095238095
"55"	"<{102189}>"	0.0595238095238095
"56"	"<{10235}>"	0.0773809523809524
"57"	"<{10243}>"	0.0892857142857143
"58"	"<{10244}>"	0.0892857142857143
"59"	"<{10249}>"	0.113095238095238
"60"	"<{10250}>"	0.0714285714285714
"61"	"<{102580}>"	0.0476190476190476
"62"	"<{10265}>"	0.172619047619048
"63"	"<{10270}>"	0.125
"64"	"<{102748}>"	0.0476190476190476
"65"	"<{10280}>"	0.148809523809524
"66"	"<{10283}>"	0.0595238095238095
"67"	"<{10285}>"	0.119047619047619
"68"	"<{103091}>"	0.0476190476190476
"69"	"<{10310}>"	0.166666666666667
"70"	"<{1032}>"	0.273809523809524
"71"	"<{103290}>"	0.0773809523809524
"72"	"<{10343}>"	0.285714285714286
"73"	"<{10349}>"	0.0654761904761905
"74"	"<{10354}>"	0.0535714285714286
"75"	"<{10356}>"	0.303571428571429
"76"	"<{10357}>"	0.0595238095238095
"77"	"<{10363}>"	0.0833333333333333
"78"	"<{10370}>"	0.0714285714285714
"79"	"<{10372}>"	0.0476190476190476
"80"	"<{10373}>"	0.0714285714285714
"81"	"<{10383}>"	0.0833333333333333
"82"	"<{103853}>"	0.0595238095238095
"83"	"<{10391}>"	0.0714285714285714
"84"	"<{10392}>"	0.130952380952381
"85"	"<{103941}>"	0.0892857142857143
"86"	"<{10418}>"	0.0654761904761905
"87"	"<{10421}>"	0.0714285714285714
"88"	"<{104308}>"	0.0714285714285714
"89"	"<{10436}>"	0.0654761904761905
"90"	"<{104408}>"	0.0476190476190476
"91"	"<{10442}>"	0.0654761904761905
"92"	"<{104480}>"	0.0476190476190476
"93"	"<{104488}>"	0.0476190476190476
"94"	"<{1045}>"	0.172619047619048
"95"	"<{10452}>"	0.0773809523809524
"96"	"<{10456}>"	0.0535714285714286
"97"	"<{10458}>"	0.125
"98"	"<{10471}>"	0.0833333333333333
"99"	"<{10475}>"	0.113095238095238
"100"	"<{10477}>"	0.0714285714285714
"101"	"<{10478}>"	0.0654761904761905
"102"	"<{104869}>"	0.0595238095238095
"103"	"<{10498}>"	0.0595238095238095
"104"	"<{10499}>"	0.107142857142857
"105"	"<{10507}>"	0.0773809523809524
"106"	"<{10515}>"	0.0892857142857143
"107"	"<{10526}>"	0.208333333333333
"108"	"<{10529}>"	0.196428571428571
"109"	"<{1054}>"	0.0476190476190476
"110"	"<{10551}>"	0.0773809523809524
"111"	"<{105510}>"	0.0654761904761905
"112"	"<{10557}>"	0.0714285714285714
"113"	"<{10558}>"	0.0535714285714286
"114"	"<{10561}>"	0.101190476190476
"115"	"<{105719}>"	0.0535714285714286
"116"	"<{10591}>"	0.0714285714285714
"117"	"<{10595}>"	0.0892857142857143
"118"	"<{10600}>"	0.0654761904761905
"119"	"<{10605}>"	0.0595238095238095
"120"	"<{10607}>"	0.0476190476190476
"121"	"<{10608}>"	0.142857142857143
"122"	"<{1061}>"	0.166666666666667
"123"	"<{10631}>"	0.130952380952381
"124"	"<{106422}>"	0.0535714285714286
"125"	"<{10677}>"	0.0535714285714286
"126"	"<{106789}>"	0.0476190476190476
"127"	"<{10679}>"	0.0714285714285714
"128"	"<{1069}>"	0.261904761904762
"129"	"<{10692}>"	0.0714285714285714
"130"	"<{106928}>"	0.0535714285714286
"131"	"<{10694}>"	0.0654761904761905
"132"	"<{1070}>"	0.0535714285714286
"133"	"<{10707}>"	0.113095238095238
"134"	"<{10711}>"	0.101190476190476
"135"	"<{10718}>"	0.119047619047619
"136"	"<{10719}>"	0.101190476190476
"137"	"<{107198}>"	0.0476190476190476
"138"	"<{10722}>"	0.166666666666667
"139"	"<{10728}>"	0.0714285714285714
"140"	"<{10745}>"	0.255952380952381
"141"	"<{10746}>"	0.0476190476190476
"142"	"<{10748}>"	0.0892857142857143
"143"	"<{10749}>"	0.0476190476190476
"144"	"<{10750}>"	0.0595238095238095
"145"	"<{1076}>"	0.0535714285714286
"146"	"<{10766}>"	0.19047619047619
"147"	"<{10770}>"	0.0892857142857143
"148"	"<{10780}>"	0.0714285714285714
"149"	"<{10781}>"	0.0654761904761905
"150"	"<{1079}>"	0.0833333333333333
"151"	"<{108017}>"	0.0535714285714286
"152"	"<{10803}>"	0.0535714285714286
"153"	"<{10804}>"	0.0476190476190476
"154"	"<{10810}>"	0.107142857142857
"155"	"<{10813}>"	0.0476190476190476
"156"	"<{10814}>"	0.148809523809524
"157"	"<{10818}>"	0.0595238095238095
"158"	"<{108180}>"	0.0476190476190476
"159"	"<{10819}>"	0.154761904761905
"160"	"<{1082}>"	0.0595238095238095
"161"	"<{10822}>"	0.130952380952381
"162"	"<{108257}>"	0.0535714285714286
"163"	"<{10828}>"	0.0535714285714286
"164"	"<{108295}>"	0.0476190476190476
"165"	"<{108323}>"	0.0535714285714286
"166"	"<{10834}>"	0.166666666666667
"167"	"<{10837}>"	0.0654761904761905
"168"	"<{108377}>"	0.0535714285714286
"169"	"<{108387}>"	0.0535714285714286
"170"	"<{1084}>"	0.571428571428571
"171"	"<{10840}>"	0.380952380952381
"172"	"<{10845}>"	0.291666666666667
"173"	"<{10846}>"	0.130952380952381
"174"	"<{10847}>"	0.0773809523809524
"175"	"<{1085}>"	0.0595238095238095
"176"	"<{10866}>"	0.0714285714285714
"177"	"<{10878}>"	0.0833333333333333
"178"	"<{1088}>"	0.107142857142857
"179"	"<{10884}>"	0.0952380952380952
"180"	"<{108974}>"	0.0833333333333333
"181"	"<{10902}>"	0.136904761904762
"182"	"<{109048}>"	0.0476190476190476
"183"	"<{10909}>"	0.0654761904761905
"184"	"<{109221}>"	0.101190476190476
"185"	"<{10928}>"	0.0654761904761905
"186"	"<{10939}>"	0.0892857142857143
"187"	"<{10956}>"	0.0714285714285714
"188"	"<{10962}>"	0.0535714285714286
"189"	"<{10972}>"	0.297619047619048
"190"	"<{10974}>"	0.0773809523809524
"191"	"<{10986}>"	0.142857142857143
"192"	"<{1100}>"	0.297619047619048
"193"	"<{11005}>"	0.0476190476190476
"194"	"<{110108}>"	0.0833333333333333
"195"	"<{11013}>"	0.0773809523809524
"196"	"<{11020}>"	0.154761904761905
"197"	"<{11021}>"	0.136904761904762
"198"	"<{11022}>"	0.107142857142857
"199"	"<{11023}>"	0.0654761904761905
"200"	"<{110261}>"	0.0773809523809524
"201"	"<{11035}>"	0.0952380952380952
"202"	"<{11047}>"	0.380952380952381
"203"	"<{110572}>"	0.0654761904761905
"204"	"<{110670}>"	0.0535714285714286
"205"	"<{110708}>"	0.0476190476190476
"206"	"<{11092}>"	0.148809523809524
"207"	"<{111}>"	0.0595238095238095
"208"	"<{11100}>"	0.0476190476190476
"209"	"<{11110}>"	0.113095238095238
"210"	"<{11111}>"	0.0714285714285714
"211"	"<{111169}>"	0.0476190476190476
"212"	"<{1112}>"	0.196428571428571
"213"	"<{1113}>"	0.107142857142857
"214"	"<{11134}>"	0.0476190476190476
